PC=0000000000000000, REG[30]=0000000000001000
PC=0000000000000004, REG[16]=000000000000000e
PC=0000000000000008, REG[26]=000000000000000c
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000fe0
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=000000000000000d
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000fc0
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=000000000000000c
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000fa0
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=000000000000000b
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000f80
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=000000000000000a
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000f60
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000009
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000f40
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000008
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000f20
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000007
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000f00
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000006
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000ee0
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000005
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000ec0
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000004
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000ea0
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000003
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000e80
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000002
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000e60
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000001
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000001
PC=0000000000000020, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000002
PC=0000000000000040, REG[16]=0000000000000000
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000048, REG[ 1]=0000000000000001
PC=000000000000004c, REG[ 0]=0000000000000002
PC=0000000000000050, REG[26]=0000000000000038
PC=0000000000000054, REG[30]=0000000000000e80
PC=0000000000000058, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000003
PC=0000000000000040, REG[16]=0000000000000001
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000001
PC=0000000000000020, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000048, REG[ 1]=0000000000000002
PC=000000000000004c, REG[ 0]=0000000000000003
PC=0000000000000050, REG[26]=0000000000000038
PC=0000000000000054, REG[30]=0000000000000ea0
PC=0000000000000058, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000004
PC=0000000000000040, REG[16]=0000000000000002
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000e80
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000001
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000001
PC=0000000000000020, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000002
PC=0000000000000040, REG[16]=0000000000000000
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000048, REG[ 1]=0000000000000001
PC=000000000000004c, REG[ 0]=0000000000000002
PC=0000000000000050, REG[26]=0000000000000048
PC=0000000000000054, REG[30]=0000000000000ea0
PC=0000000000000058, ---
PC=0000000000000048, REG[ 1]=0000000000000003
PC=000000000000004c, REG[ 0]=0000000000000005
PC=0000000000000050, REG[26]=0000000000000038
PC=0000000000000054, REG[30]=0000000000000ec0
PC=0000000000000058, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000005
PC=0000000000000040, REG[16]=0000000000000003
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000ea0
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000002
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000e80
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000001
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000001
PC=0000000000000020, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000002
PC=0000000000000040, REG[16]=0000000000000000
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000048, REG[ 1]=0000000000000001
PC=000000000000004c, REG[ 0]=0000000000000002
PC=0000000000000050, REG[26]=0000000000000038
PC=0000000000000054, REG[30]=0000000000000ea0
PC=0000000000000058, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000003
PC=0000000000000040, REG[16]=0000000000000001
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000001
PC=0000000000000020, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000048, REG[ 1]=0000000000000002
PC=000000000000004c, REG[ 0]=0000000000000003
PC=0000000000000050, REG[26]=0000000000000048
PC=0000000000000054, REG[30]=0000000000000ec0
PC=0000000000000058, ---
PC=0000000000000048, REG[ 1]=0000000000000005
PC=000000000000004c, REG[ 0]=0000000000000008
PC=0000000000000050, REG[26]=0000000000000038
PC=0000000000000054, REG[30]=0000000000000ee0
PC=0000000000000058, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000006
PC=0000000000000040, REG[16]=0000000000000004
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000ec0
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000003
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000ea0
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000002
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000e80
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000001
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000001
PC=0000000000000020, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000002
PC=0000000000000040, REG[16]=0000000000000000
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000048, REG[ 1]=0000000000000001
PC=000000000000004c, REG[ 0]=0000000000000002
PC=0000000000000050, REG[26]=0000000000000038
PC=0000000000000054, REG[30]=0000000000000ea0
PC=0000000000000058, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000003
PC=0000000000000040, REG[16]=0000000000000001
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000001
PC=0000000000000020, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000048, REG[ 1]=0000000000000002
PC=000000000000004c, REG[ 0]=0000000000000003
PC=0000000000000050, REG[26]=0000000000000038
PC=0000000000000054, REG[30]=0000000000000ec0
PC=0000000000000058, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000004
PC=0000000000000040, REG[16]=0000000000000002
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000000
PC=0000000000000020, ---
PC=0000000000000024, REG[30]=0000000000000ea0
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, REG[16]=0000000000000001
PC=0000000000000034, REG[26]=0000000000000038
PC=0000000000000018, ---
PC=000000000000001c, REG[ 1]=0000000000000001
PC=0000000000000020, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000038, ---
PC=000000000000003c, REG[16]=0000000000000002
PC=0000000000000040, REG[16]=0000000000000000
PC=0000000000000044, REG[26]=0000000000000048
PC=0000000000000018, ---
PC=000000000000005c, REG[ 0]=0000000000000001
PC=0000000000000060, ---
PC=0000000000000048, REG[ 1]=0000000000000001
PC=000000000000004c, REG[ 0]=0000000000000002
PC=0000000000000050, REG[26]=0000000000000048
PC=0000000000000054, REG[30]=0000000000000ec0
PC=0000000000000058, ---
